winch, score: 1992
winch, score: 1992
rajah, score: 1993
rajah, score: 1993
rajah, score: 1993
rajah, score: 1993
taffy, score: 1996
slush, score: 1997
slush, score: 1997
slush, score: 1997
quoth, score: 1998
quoth, score: 1998
quoth, score: 1998
apply, score: 1999
tepee, score: 2000
tepee, score: 2000
tepee, score: 2000
tepee, score: 2000
tepee, score: 2000
tepee, score: 2000
tepee, score: 2000
tepee, score: 2000
fewer, score: 2001
fewer, score: 2001
sully, score: 2002
sully, score: 2002
sully, score: 2002
murky, score: 2003
murky, score: 2003
murky, score: 2003
murky, score: 2003
wispy, score: 2004
wispy, score: 2004
wispy, score: 2004
wispy, score: 2004
wispy, score: 2004
wispy, score: 2004
wispy, score: 2004
karma, score: 2005
karma, score: 2005
karma, score: 2005
punch, score: 2006
wight, score: 2007
wight, score: 2007
wight, score: 2007
wight, score: 2007
wight, score: 2007
wight, score: 2007
wight, score: 2007
villa, score: 2008
sweep, score: 2009
sweep, score: 2009
whiny, score: 2010
igloo, score: 2011
igloo, score: 2011
spoon, score: 2012
spoon, score: 2012
spoon, score: 2012
spoon, score: 2012
spoon, score: 2012
tabby, score: 2013
tabby, score: 2013
tabby, score: 2013
snuck, score: 2014
snuck, score: 2014
snuck, score: 2014
spiky, score: 2015
spiky, score: 2015
spiky, score: 2015
spiky, score: 2015
spiky, score: 2015
sixth, score: 2016
sixth, score: 2016
sixth, score: 2016
smoky, score: 2017
smoky, score: 2017
smoky, score: 2017
smoky, score: 2017
sappy, score: 2018
sappy, score: 2018
sappy, score: 2018
width, score: 2019
width, score: 2019
width, score: 2019
offal, score: 2020
leggy, score: 2021
leggy, score: 2021
leggy, score: 2021
leggy, score: 2021
epoxy, score: 2022
epoxy, score: 2022
epoxy, score: 2022
verge, score: 2023
verge, score: 2023
verge, score: 2023
verge, score: 2023
verge, score: 2023
verge, score: 2023
thick, score: 2024
thick, score: 2024
thick, score: 2024
thick, score: 2024
thick, score: 2024
wound, score: 2025
wound, score: 2025
wound, score: 2025
wound, score: 2025
wound, score: 2025
wound, score: 2025
showy, score: 2026
showy, score: 2026
showy, score: 2026
showy, score: 2026
showy, score: 2026
stuck, score: 2027
stuck, score: 2027
stuck, score: 2027
stuck, score: 2027
witch, score: 2028
witch, score: 2028
witch, score: 2028
cough, score: 2029
cough, score: 2029
tweed, score: 2030
tweed, score: 2030
penny, score: 2031
penny, score: 2031
penny, score: 2031
penny, score: 2031
stunt, score: 2032
stunt, score: 2032
stunt, score: 2032
stunt, score: 2032
stunt, score: 2032
stunt, score: 2032
staff, score: 2033
staff, score: 2033
staff, score: 2033
staff, score: 2033
staff, score: 2033
found, score: 2034
swing, score: 2035
swing, score: 2035
swing, score: 2035
swing, score: 2035
swing, score: 2035
shoot, score: 2036
shoot, score: 2036
shoot, score: 2036
venue, score: 2037
venue, score: 2037
venue, score: 2037
venue, score: 2037
venue, score: 2037
frock, score: 2038
frock, score: 2038
weave, score: 2039
weave, score: 2039
weave, score: 2039
weave, score: 2039
weave, score: 2039
wrung, score: 2040
wrung, score: 2040
wrung, score: 2040
pouch, score: 2041
pouch, score: 2041
pouch, score: 2041
pouch, score: 2041
pouch, score: 2041
young, score: 2042
young, score: 2042
young, score: 2042
young, score: 2042
swift, score: 2043
swift, score: 2043
swift, score: 2043
swamp, score: 2044
swamp, score: 2044
swamp, score: 2044
union, score: 2045
union, score: 2045
union, score: 2045
union, score: 2045
union, score: 2045
union, score: 2045
event, score: 2046
event, score: 2046
event, score: 2046
truth, score: 2047
truth, score: 2047
truth, score: 2047
truth, score: 2047
truth, score: 2047
truth, score: 2047
fritz, score: 2048
fritz, score: 2048
fritz, score: 2048
rowdy, score: 2049
rowdy, score: 2049
rowdy, score: 2049
rowdy, score: 2049
rowdy, score: 2049
rowdy, score: 2049
sloop, score: 2050
sloop, score: 2050
sloop, score: 2050
quash, score: 2051
quash, score: 2051
stood, score: 2052
stood, score: 2052
stood, score: 2052
stood, score: 2052
stood, score: 2052
stood, score: 2052
flail, score: 2053
flail, score: 2053
flail, score: 2053
flail, score: 2053
flail, score: 2053
undue, score: 2054
undue, score: 2054
undue, score: 2054
undue, score: 2054
undue, score: 2054
undue, score: 2054
undue, score: 2054
undue, score: 2054
wordy, score: 2055
wordy, score: 2055
wordy, score: 2055
wordy, score: 2055
wordy, score: 2055
wordy, score: 2055
wordy, score: 2055
ledge, score: 2056
ledge, score: 2056
ledge, score: 2056
ledge, score: 2056
teddy, score: 2057
teddy, score: 2057
teddy, score: 2057
teddy, score: 2057
teddy, score: 2057
teddy, score: 2057
teddy, score: 2057
teddy, score: 2057
where, score: 2058
where, score: 2058
where, score: 2058
where, score: 2058
